,source,target
0,TNMD,SPAG4
1,TNMD,BCL2L13
2,TNMD,BNIP3L
3,TNMD,CD33
4,TNMD,HHLA2
5,TNMD,FAM209A
6,TNMD,MYG1
7,TNMD,FCGR1A
8,TNMD,CREB3L1
9,TNMD,TMEM79
10,TNMD,GGT6
11,TNMD,ARL13B
12,TNMD,BNIP3
13,TNMD,AMIGO1
14,TNMD,TMEM106A
15,TNMD,KIR3DL3
16,DPM1,MEOX2
17,SCYL3,GABARAPL2
18,SCYL3,TXN2
19,SCYL3,GABARAPL1
20,SCYL3,TCAF1
21,C1orf112,P4HA3
22,FUCA2,WNT11
23,FUCA2,TNPO2
24,FUCA2,HOXA1
25,FUCA2,NUFIP2
26,FUCA2,PIN1
27,FUCA2,GUCD1
28,FUCA2,LCE1E
29,FUCA2,LCE1A
30,FUCA2,LCE4A
31,FUCA2,VWC2
32,FUCA2,KRTAP5-3
33,FUCA2,LCE1B
34,FUCA2,KRTAP5-2
35,FUCA2,KRTAP4-12
36,FUCA2,KRTAP10-1
37,NFYA,NFYC
38,NFYA,CSNK2A1
39,NFYA,NFYB
40,NFYA,ATXN1
41,NFYA,ZC3H10
42,NFYA,VEZF1
43,NFYA,POU2F1
44,NFYA,POGZ
45,NFYA,LUC7L2
46,NFYA,DVL3
47,NFYA,GTF2A1
48,NFYA,BANP
49,NFYA,QRICH1
50,NFYA,UBL5
51,NFYA,TCAF1
52,NIPAL3,MANBAL
53,NIPAL3,CD79A
54,NIPAL3,TMEM14B
55,NIPAL3,EDA
56,NIPAL3,VMA21
57,NIPAL3,GPX8
58,NIPAL3,MFF
59,NIPAL3,ATP6V0C
60,NIPAL3,GJA5
61,ENPP4,TMEM147
62,ENPP4,TMBIM6
63,KRIT1,UBE2K
64,RAD52,RAD52
65,RAD52,MEOX1
66,RAD52,NFYC
67,RAD52,KPNA3
68,RAD52,MEOX2
69,RAD52,PLK3
70,RAD52,PAX5
71,RAD52,KPNA5
72,RAD52,DCP1A
73,RAD52,RDM1
74,BAD,ACTN2
75,BAD,KRT31
76,BAD,BCL2L2
77,BAD,BCL2L1
78,LAP3,ZNF76
79,LAP3,MAPRE3
80,LAP3,CBX5
81,LAP3,PIK3R3
82,LAP3,CBX3
83,LAP3,PIH1D2
84,LAP3,USF1
85,LAP3,ZYX
86,LAP3,BANP
87,AOC1,ZC3H10
88,AOC1,POGZ
89,AOC1,TIAL1
90,AOC1,NTAQ1
91,AOC1,FOXH1
92,AOC1,TLX3
93,AOC1,RBPMS2
94,AOC1,DAZAP2
95,AOC1,KRTAP8-1
96,HECW1,VAX1
97,MAD1L1,ALOX5
98,MAD1L1,LMO3
99,MAD1L1,ATG5
100,MAD1L1,GPKOW
101,MAD1L1,LNX1
102,MAD1L1,NEBL
103,MAD1L1,PIBF1
104,MAD1L1,KIF9
105,MAD1L1,SYT17
106,MAD1L1,CDC37
107,MAD1L1,LENG1
108,MAD1L1,RNF8
109,MAD1L1,CDK18
110,MAD1L1,LGALSL
111,MAD1L1,CAPN7
112,MAD1L1,SYT6
113,MAD1L1,USP15
114,MAD1L1,TSGA10
115,MAD1L1,TRIM29
116,MAD1L1,MFAP1
117,MAD1L1,TPM1
118,MAD1L1,GAS8
119,MAD1L1,TPM3
120,MAD1L1,PPP1R18
121,MAD1L1,CWF19L2
122,MAD1L1,NTAQ1
123,MAD1L1,TSC22D3
124,MAD1L1,SPATA18
125,MAD1L1,MAD2L1
126,MAD1L1,BAG5
127,MAD1L1,LMO1
128,MAD1L1,FAM90A1
129,MAD1L1,CCDC57
130,MAD1L1,TEX33
131,MAD1L1,TCAF1
132,MAD1L1,CCHCR1
133,LASP1,FAM168A
134,LASP1,POLD1
135,LASP1,DMRT3
136,LASP1,POU1F1
137,LASP1,ANKS1A
138,LASP1,PITX1
139,LASP1,CAMK2A
140,LASP1,TRIP13
141,LASP1,RBFOX1
142,LASP1,CHERP
143,LASP1,DTX2
144,LASP1,NUTF2
145,LASP1,VAC14
146,LASP1,MED25
147,LASP1,HOXA1
148,LASP1,CRYBA1
149,LASP1,TNS2
150,LASP1,MDFI
151,LASP1,TFG
152,LASP1,OTX1
153,LASP1,ATXN1
154,LASP1,GCM2
155,LASP1,TEKT3
156,LASP1,INTS11
157,LASP1,ARHGEF16
158,LASP1,RHOXF2
159,LASP1,BHLHE40
160,LASP1,ZC3H10
161,LASP1,VEZF1
162,LASP1,RNF38
163,LASP1,SPAG8
164,LASP1,GUCD1
165,LASP1,BAHD1
166,LASP1,GAS8
167,LASP1,LMO4
168,LASP1,YTHDF1
169,LASP1,FAM168B
170,LASP1,TEKT5
171,LASP1,BAG4
172,LASP1,RBPMS
173,LASP1,FOXH1
174,LASP1,PRR35
175,LASP1,PPP1R32
176,LASP1,OXER1
